EmployeeNumber,EmployeeName,TransactionDate,Vendor,TransactionAmount
E001,John Smith,2025-07-03,Amazon,554.53
E002,Mary Johnson,2025-07-18,Staples,1046.84
E004,Sarah Davis,2025-10-11,Uber,238.72
E004,Sarah Davis,2025-11-30,Amazon,153.37
E002,Mary Johnson,2025-04-13,Uber,929.22
E003,David Lee,2025-09-14,FedEx,1200.65
E002,Mary Johnson,2025-02-14,Amazon,400.27
E005,Michael Brown,2025-11-18,Amazon,313.48
E005,Michael Brown,2025-09-15,Uber,171.67
E003,David Lee,2025-04-30,Delta Airlines,559.98
E002,Mary Johnson,2025-02-17,Amazon,215.32
E002,Mary Johnson,2025-01-25,Delta Airlines,1113.83
E002,Mary Johnson,2025-12-20,Uber,971.24
E003,David Lee,2025-10-29,Staples,840.71
E002,Mary Johnson,2025-12-09,FedEx,1436.98
E001,John Smith,2025-08-17,Delta Airlines,904.41
E002,Mary Johnson,2025-05-23,Delta Airlines,476.98
E002,Mary Johnson,2025-05-11,Staples,472.82
E003,David Lee,2025-11-25,FedEx,1307.71
E001,John Smith,2025-07-27,Marriott,668.49
E004,Sarah Davis,2025-07-12,Delta Airlines,203.59
E003,David Lee,2025-05-05,Amazon,493.45
E004,Sarah Davis,2025-10-11,Amazon,944.47
E002,Mary Johnson,2025-09-09,Marriott,660.44
E001,John Smith,2025-06-13,Amazon,175.04
E004,Sarah Davis,2025-09-28,Marriott,31.84
E004,Sarah Davis,2025-05-28,Delta Airlines,778.9
E004,Sarah Davis,2025-03-14,Staples,427.22
E005,Michael Brown,2025-03-13,Marriott,1347.36
E004,Sarah Davis,2025-05-24,FedEx,716.45
E005,Michael Brown,2025-11-21,Amazon,603.14
E004,Sarah Davis,2025-02-24,Uber,820.02
E002,Mary Johnson,2025-09-17,Delta Airlines,1401.79
E003,David Lee,2025-03-26,Marriott,1409.7
E005,Michael Brown,2025-11-30,FedEx,383.21
E002,Mary Johnson,2025-07-19,Delta Airlines,1331.42
E002,Mary Johnson,2025-03-29,Staples,42.66
E003,David Lee,2025-11-09,Marriott,329.06
E001,John Smith,2025-08-24,Staples,1097.18
E002,Mary Johnson,2025-02-14,Uber,436.02
E003,David Lee,2025-07-01,Staples,1411.46
E005,Michael Brown,2025-06-29,FedEx,876.29
E004,Sarah Davis,2025-03-13,Amazon,1270.74
E001,John Smith,2025-05-26,Delta Airlines,1429.8
E003,David Lee,2025-05-21,Marriott,1135.08
E002,Mary Johnson,2025-01-14,Amazon,158.73
E002,Mary Johnson,2025-05-24,Amazon,589.06
E004,Sarah Davis,2025-07-10,Amazon,1037.14
E001,John Smith,2025-03-20,Amazon,52.37
E001,John Smith,2025-10-05,Delta Airlines,1405.94
E003,David Lee,2025-08-13,FedEx,18.88
E002,Mary Johnson,2025-12-22,Marriott,367.37
E004,Sarah Davis,2025-08-14,Amazon,731.34
E003,David Lee,2025-03-28,Uber,934.15
E001,John Smith,2025-01-10,FedEx,1037.95
E004,Sarah Davis,2025-04-01,Marriott,1021.12
E005,Michael Brown,2025-11-27,Amazon,809.28
E001,John Smith,2025-03-28,Delta Airlines,951.87
E004,Sarah Davis,2025-11-11,Staples,514.5
E005,Michael Brown,2025-05-30,Delta Airlines,68.83
E002,Mary Johnson,2025-12-18,Delta Airlines,238.35
E004,Sarah Davis,2025-09-26,FedEx,588.1
E003,David Lee,2025-05-09,Staples,692.98
E005,Michael Brown,2025-04-26,Marriott,211.21
E002,Mary Johnson,2025-05-19,FedEx,1138.38
E001,John Smith,2025-05-17,Uber,1115.84
E001,John Smith,2025-01-10,Marriott,1336.89
E002,Mary Johnson,2025-12-28,Staples,1041.21
E002,Mary Johnson,2025-09-30,Marriott,327.36
E003,David Lee,2025-04-10,Uber,1341.01
E001,John Smith,2025-04-15,Delta Airlines,885.05
E001,John Smith,2025-01-16,Marriott,752.85
E001,John Smith,2025-03-04,Marriott,824.84
E003,David Lee,2025-09-22,Amazon,1082.23
E004,Sarah Davis,2025-01-14,Uber,440.11
E001,John Smith,2025-05-27,FedEx,657.0
E004,Sarah Davis,2025-11-09,Uber,861.13
E001,John Smith,2025-10-28,Marriott,195.7
E003,David Lee,2025-04-15,Marriott,1134.66
E002,Mary Johnson,2025-04-23,Amazon,1468.25
E002,Mary Johnson,2025-09-23,Staples,49.07
E003,David Lee,2025-06-14,Uber,219.27
E003,David Lee,2025-02-04,Staples,1091.66
E003,David Lee,2025-03-19,Marriott,1366.54
E005,Michael Brown,2025-05-10,Amazon,560.37
E003,David Lee,2025-12-14,Staples,401.34
E001,John Smith,2025-03-20,Staples,1404.86
E004,Sarah Davis,2025-03-09,Uber,311.37
E003,David Lee,2025-05-26,Uber,319.1
E002,Mary Johnson,2025-07-03,Amazon,420.93
E001,John Smith,2025-06-06,Staples,1004.74
E005,Michael Brown,2025-04-23,Delta Airlines,920.17
E002,Mary Johnson,2025-08-03,Amazon,271.0
E001,John Smith,2025-08-10,FedEx,869.88
E005,Michael Brown,2025-06-12,FedEx,1447.16
E001,John Smith,2025-10-03,Amazon,565.26
E002,Mary Johnson,2025-04-21,Delta Airlines,508.54
E001,John Smith,2025-05-14,Amazon,250.64
E005,Michael Brown,2025-06-24,Staples,1296.28
E003,David Lee,2025-06-04,Uber,925.53
E004,Sarah Davis,2025-02-08,FedEx,838.53
E002,Mary Johnson,2025-06-03,FedEx,614.4
E005,Michael Brown,2025-06-14,Uber,802.95
E001,John Smith,2025-01-06,Delta Airlines,250.34
E003,David Lee,2025-05-09,Uber,1459.58
E002,Mary Johnson,2025-05-21,Uber,1037.93
E005,Michael Brown,2025-07-17,FedEx,1203.75
E004,Sarah Davis,2025-07-10,Marriott,1019.74
E002,Mary Johnson,2025-01-24,Uber,705.43
