EmployeeName,Department,Salary,Bonus
Michael Hernandez,HR,1000000.0,1000
Glen Barton,acct,50000.0,N/A
Sandra Watkins,h.r.,50000.0,1000
Michele Mccarty,h.r.,50000.0,0
Robert Vega,HR,50000.0,N/A
Kenneth James,acct,60000.0,2000
Scott Barrera,IT,1000000.0,0
Kristin Evans,Accounting,,1000
Peter Kerr,HR,50000.0,1000
Dr. Courtney Sullivan,Accounting,60000.0,2000
Ian Rodriguez,Accounting,70000.0,0
Sarah Watson,Accounting,50000.0,0
Lisa Cook,h.r.,1000000.0,2000
Mr. David Johnson,h.r.,1000000.0,0
Mrs. Dana Thomas,IT,60000.0,N/A
Tyler Mcgrath,IT,50000.0,2000
Richard Flynn,Accounting,,N/A
Bailey Hogan,acct,60000.0,N/A
Michael Mcknight,Accounting,1000000.0,2000
Allison Barnes,IT,60000.0,2000
