InstructorID,InstructorName,HoursTaught,AwardsWon,NationalRecognition
INST01,Helen Hill,186,0,No
INST02,Jose Johnson,313,2,No
INST03,Andrew Cook,388,2,No
INST04,Kathy Miller,152,0,No
INST05,Andrew Kim,249,0,No
INST06,Ronald Phillips,324,0,No
INST07,Jonathan Jones,472,2,No
INST08,Nathan Hoffman,550,0,No
INST09,Casey Lawrence,487,2,No
INST10,Kristin Simpson,400,0,No
INST11,Jeffrey Quinn,234,0,No
INST12,Brooke Brock MD,152,0,No
INST13,Elizabeth Reed,504,5,No
INST14,Antonio Torres,549,3,Yes
INST15,Gregory Davis,239,0,No
