RegistrationID,StudentID,StudentName,SessionID,FeePaid
REG0001,STU006,Kathleen,SESS015,25
REG0002,STU021,Darlene,SESS035,0
REG0003,STU057,Andrew,SESS013,75
REG0004,STU060,Whitney,SESS046,40
REG0005,STU030,Dawn,SESS009,95
REG0006,STU064,Nicole,SESS028,115
REG0007,STU011,Peter,SESS035,0
REG0008,STU093,Kathy,SESS003,115
REG0009,STU100,Max,SESS036,25
REG0010,STU095,Shawn,SESS046,40
REG0011,STU014,Kathryn,SESS043,25
REG0012,STU005,Kelly,SESS042,40
REG0013,STU016,Summer,SESS015,25
REG0014,STU028,Raven,SESS007,25
REG0015,STU066,David,SESS001,40
REG0016,STU092,Richard,SESS019,75
REG0017,STU057,Stephen,SESS034,40
REG0018,STU035,Angel,SESS007,25
REG0019,STU095,Jon,SESS036,25
REG0020,STU053,Dawn,SESS030,40
REG0021,STU039,Nancy,SESS014,25
REG0022,STU096,Mary,SESS045,95
REG0023,STU054,Kenneth,SESS007,25
REG0024,STU037,Cheryl,SESS044,0
REG0025,STU084,Brittney,SESS030,40
REG0026,STU065,Michelle,SESS034,40
REG0027,STU045,Kathryn,SESS040,75
REG0028,STU061,Alexandra,SESS032,0
REG0029,STU040,Christina,SESS034,40
REG0030,STU092,Melissa,SESS042,40
REG0031,STU010,Lindsay,SESS002,25
REG0032,STU054,Alyssa,SESS015,25
REG0033,STU029,Amy,SESS003,140
REG0034,STU039,Glenn,SESS042,40
REG0035,STU034,Cassandra,SESS019,75
REG0036,STU079,Jacob,SESS008,115
REG0037,STU056,Jonathan,SESS019,95
REG0038,STU080,Alison,SESS039,0
REG0039,STU043,Kevin,SESS005,75
REG0040,STU062,Jason,SESS039,0
REG0041,STU082,Samantha,SESS022,115
REG0042,STU070,Eric,SESS005,115
REG0043,STU023,Cynthia,SESS027,40
REG0044,STU047,Bradley,SESS028,140
REG0045,STU085,Stephen,SESS033,0
REG0046,STU004,Michael,SESS049,40
REG0047,STU053,Kelly,SESS026,40
REG0048,STU036,Daniel,SESS026,40
REG0049,STU073,Sharon,SESS033,0
REG0050,STU058,Laura,SESS016,40
REG0051,STU090,Anthony,SESS029,0
REG0052,STU056,Beverly,SESS041,0
REG0053,STU083,Heather,SESS022,95
REG0054,STU002,Beverly,SESS030,40
REG0055,STU019,Deborah,SESS016,40
REG0056,STU079,Daniel,SESS041,0
REG0057,STU038,Emily,SESS037,40
REG0058,STU024,Laura,SESS002,25
REG0059,STU023,Ashley,SESS015,25
REG0060,STU094,Tina,SESS044,0
REG0061,STU054,Stephanie,SESS037,40
REG0062,STU053,Jason,SESS013,75
REG0063,STU094,Melanie,SESS048,140
REG0064,STU002,Shelly,SESS002,25
REG0065,STU059,Anthony,SESS001,40
REG0066,STU041,Jacob,SESS038,0
REG0067,STU045,Billy,SESS028,115
REG0068,STU011,Jennifer,SESS025,40
REG0069,STU029,Michelle,SESS013,115
REG0070,STU016,Timothy,SESS019,75
REG0071,STU013,Julie,SESS044,0
REG0072,STU077,Luis,SESS027,40
REG0073,STU085,Rachel,SESS040,95
REG0074,STU017,Sydney,SESS012,40
REG0075,STU077,Hannah,SESS021,115
REG0076,STU030,Suzanne,SESS017,140
REG0077,STU031,Stephanie,SESS015,25
REG0078,STU079,Brian,SESS019,140
REG0079,STU059,Angela,SESS030,40
REG0080,STU021,Deborah,SESS024,40
REG0081,STU098,Timothy,SESS030,40
REG0082,STU090,Tammy,SESS035,0
REG0083,STU040,John,SESS018,25
REG0084,STU001,Mary,SESS041,0
REG0085,STU051,Stephen,SESS021,115
REG0086,STU080,Kelly,SESS027,40
REG0087,STU051,Julia,SESS012,40
REG0088,STU064,David,SESS011,0
REG0089,STU069,Jessica,SESS047,40
REG0090,STU061,Melissa,SESS027,40
REG0091,STU085,Robert,SESS016,40
REG0092,STU082,Lisa,SESS024,40
REG0093,STU064,Steven,SESS036,25
REG0094,STU051,Melissa,SESS039,0
REG0095,STU063,Benjamin,SESS040,140
REG0096,STU029,Kellie,SESS023,0
REG0097,STU057,John,SESS011,0
REG0098,STU094,Michael,SESS026,40
REG0099,STU061,Sean,SESS038,0
REG0100,STU088,Sharon,SESS041,0
REG0101,STU013,Megan,SESS040,95
REG0102,STU077,Courtney,SESS003,115
REG0103,STU092,Rachel,SESS039,0
REG0104,STU088,Andrew,SESS046,40
REG0105,STU076,Deborah,SESS048,95
REG0106,STU092,Trevor,SESS042,40
REG0107,STU065,Kim,SESS030,40
REG0108,STU058,John,SESS035,0
REG0109,STU072,Katherine,SESS006,140
REG0110,STU005,Hannah,SESS028,75
REG0111,STU031,Ann,SESS019,115
REG0112,STU085,Megan,SESS009,75
REG0113,STU022,Ryan,SESS045,140
REG0114,STU031,Chad,SESS025,40
REG0115,STU069,Karen,SESS037,40
REG0116,STU092,Jennifer,SESS034,40
REG0117,STU006,Oscar,SESS042,40
REG0118,STU016,Eugene,SESS030,40
REG0119,STU100,Janet,SESS033,0
REG0120,STU083,Paul,SESS030,40
REG0121,STU070,Molly,SESS045,140
REG0122,STU020,Michael,SESS041,0
REG0123,STU016,Teresa,SESS025,40
REG0124,STU096,Molly,SESS049,40
REG0125,STU081,Norman,SESS015,25
REG0126,STU091,Victor,SESS049,40
REG0127,STU032,Diane,SESS046,40
REG0128,STU061,Timothy,SESS050,25
REG0129,STU097,Eric,SESS002,25
REG0130,STU056,Rebecca,SESS010,95
REG0131,STU059,Logan,SESS019,95
REG0132,STU071,Lauren,SESS043,25
REG0133,STU072,Cory,SESS032,0
REG0134,STU075,Julia,SESS021,75
REG0135,STU051,Rachel,SESS035,0
REG0136,STU064,Patricia,SESS036,25
REG0137,STU061,Jessica,SESS045,140
REG0138,STU023,Joseph,SESS035,0
REG0139,STU013,Dana,SESS009,95
REG0140,STU069,Melissa,SESS010,115
REG0141,STU024,Zachary,SESS002,25
REG0142,STU093,Derek,SESS040,115
REG0143,STU015,Diana,SESS008,95
REG0144,STU045,John,SESS032,0
REG0145,STU042,Nicholas,SESS027,40
REG0146,STU006,Kristin,SESS014,25
REG0147,STU050,Anna,SESS047,40
REG0148,STU077,Destiny,SESS002,25
REG0149,STU090,Robert,SESS022,95
REG0150,STU049,Jennifer,SESS022,95
REG9991,STU099,Fraud Student,SESS011,0
REG9992,STU099,Fraud Student,SESS023,0
REG9993,STU099,Fraud Student,SESS029,0
