EmployeeID,EmployeeName,Branch,Position,AnnualSalary
EMP001,Tanner Mason,Main Branch,Manager,73463
EMP002,Angela Mayer,South Branch,Manager,83812
EMP003,Michael Miller,Main Branch,Librarian,64097
EMP004,Thomas Clark,South Branch,Janitor,33863
EMP005,Alicia Moore,North Branch,Assistant,42096
EMP006,Samantha Wolf,North Branch,Janitor,32122
EMP007,Adam Drake,Main Branch,Librarian,69620
EMP008,Lauren Thomas,East Branch,Librarian,72055
EMP009,Jerry Collins,East Branch,Janitor,28672
EMP010,Douglas Mcgrath,North Branch,Librarian,68289
EMP011,Ralph Wilson,North Branch,Clerk,36466
EMP012,Dustin Burton,West Branch,Librarian,56186
EMP013,David Ford,Main Branch,Janitor,32066
EMP014,Mark Hughes,East Branch,Janitor,31838
EMP015,John Collins,East Branch,Janitor,29960
EMP016,Austin Hanson,East Branch,Manager,82695
EMP017,Paula Smith,Main Branch,Librarian,73365
EMP018,Brian Crawford,North Branch,Manager,77173
EMP019,Stephanie Cox,Main Branch,Assistant,39576
EMP020,Jamie Lopez,East Branch,Librarian,65417
EMP021,Alicia Parsons,West Branch,Clerk,32146
EMP022,Megan Rosario,Main Branch,Janitor,28259
EMP023,Matthew Frazier,South Branch,Assistant,38690
EMP024,Andre Wilson,North Branch,Manager,79459
EMP025,Brandon Norris,East Branch,Assistant,40673
EMP026,Mr. Omar Wright,North Branch,Janitor,33148
EMP027,Taylor Nichols,East Branch,Librarian,69046
EMP028,Mary Velazquez,South Branch,Librarian,64125
EMP029,Elizabeth Montgomery,West Branch,Clerk,30085
EMP030,Emily Wilson,West Branch,Librarian,74429
EMP031,Jose Gilmore,Main Branch,Janitor,32810
EMP032,Richard Hernandez,Main Branch,Clerk,30968
EMP033,Jeremy Mcpherson,South Branch,Manager,94386
EMP034,Lori Villarreal,Main Branch,Janitor,31823
EMP035,Jonathan Barnes,West Branch,Clerk,35150
EMP036,Edward Lopez,Main Branch,Assistant,38453
EMP037,Brenda Morrison,East Branch,Manager,82808
EMP038,Theresa Scott MD,East Branch,Assistant,36456
EMP039,Patricia Montes,Main Branch,Librarian,74167
EMP040,Daniel Lyons,East Branch,Clerk,37106
EMP041,Andrew Nguyen,North Branch,Assistant,36954
EMP042,Jonathan Figueroa,East Branch,Manager,71351
EMP043,Kathryn Davis,North Branch,Manager,75985
EMP044,George Reeves,South Branch,Assistant,46739
EMP045,Patricia Vang,North Branch,Clerk,31499
EMP046,April Collins,Main Branch,Clerk,32048
EMP047,Dr. Amy Reynolds,South Branch,Janitor,33873
EMP048,David Conley,North Branch,Clerk,33285
EMP049,John Hall,West Branch,Manager,81501
EMP050,James Stark,Main Branch,Assistant,38726
EMP051,Nicholas Elliott,Main Branch,Librarian,55281
EMP052,Mary Lucas,East Branch,Manager,71787
EMP053,Harold Johnson,North Branch,Manager,91259
EMP054,Jason Johnson,East Branch,Janitor,34682
EMP055,Priscilla Best,North Branch,Clerk,30778
EMP056,Brandon Harvey,North Branch,Janitor,30716
EMP057,Grant Pace,Main Branch,Manager,71348
EMP058,Stephanie Greene,South Branch,Manager,77758
EMP059,Betty Castillo,North Branch,Manager,87779
EMP060,Stephanie Moreno,South Branch,Janitor,31993
EMP061,Jessica Matthews,Main Branch,Clerk,38843
EMP062,Terry Lutz,West Branch,Assistant,46054
EMP063,Alexis Rasmussen,East Branch,Janitor,34593
EMP064,Christie Miller,West Branch,Manager,92208
EMP065,Kathleen Evans,North Branch,Librarian,65873
EMP066,Amanda Gomez,North Branch,Librarian,63009
EMP067,Wendy Peterson,East Branch,Janitor,29179
EMP068,Christopher Thompson,Main Branch,Clerk,35331
EMP069,David Bailey,West Branch,Janitor,34684
EMP070,Eric Price,South Branch,Clerk,32254
EMP071,Lance Moyer,West Branch,Manager,82987
EMP072,Michael Olson,North Branch,Librarian,63695
EMP073,Kristen Macias,East Branch,Assistant,41051
EMP074,Nathan Schaefer,South Branch,Clerk,31661
EMP075,Michael Miller,South Branch,Clerk,30955
EMP076,Edward Nash,West Branch,Librarian,52148
EMP077,Susan Cervantes,North Branch,Manager,72628
EMP078,Michael Wiley,South Branch,Manager,84589
EMP079,Steven Brandt,Main Branch,Assistant,46849
EMP080,John Hall,South Branch,Janitor,28404
EMP081,Daniel Monroe,Main Branch,Assistant,40777
EMP082,Michael Rogers,Main Branch,Assistant,35698
EMP083,Jonathan Fox,North Branch,Clerk,36839
EMP084,Brittany Foster,Main Branch,Librarian,53850
EMP085,Andrew Olson,South Branch,Janitor,33665
EMP086,Steven Beard,West Branch,Janitor,29819
EMP087,Brandon Chen,North Branch,Manager,81090
EMP088,Diane Mclaughlin,East Branch,Clerk,36782
EMP089,Brandon Hansen,West Branch,Assistant,43770
EMP090,Alexandra Spence,West Branch,Manager,74557
EMP091,Kristen Munoz,West Branch,Librarian,53946
EMP092,Emily Gonzalez,South Branch,Clerk,31843
EMP093,Laura Avila,North Branch,Janitor,34248
EMP094,Jason Phelps,South Branch,Assistant,44031
EMP095,Dawn Lamb,Main Branch,Janitor,33867
EMP096,Kimberly Morris,South Branch,Librarian,64731
EMP097,Jasmine Lee,North Branch,Clerk,31354
EMP098,Ashley Moore,West Branch,Janitor,30974
EMP099,Stacey Sullivan,North Branch,Manager,86343
EMP100,Dylan Barnett,South Branch,Janitor,34721
