OrderID,DesignerName,Est_LaborCost,Act_LaborCost,Est_MaterialCost,Act_MaterialCost
ORD0001,Nicholas Blackwell,1318,1506,910,959
ORD0002,Amy Sharp,841,915,906,840
ORD0003,Brendan Reyes,1181,1191,351,342
ORD0004,Nicholas Blackwell,1156,1332,588,560
ORD0005,Melanie Pena,524,666,456,441
ORD0006,William Patterson,1209,984,475,495
ORD0007,Brendan Reyes,923,1174,399,404
ORD0008,Amy Sharp,1021,1217,851,783
ORD0009,Amy Sharp,1336,1664,645,698
ORD0010,Amy Sharp,885,875,719,740
ORD0011,Nicholas Blackwell,1409,1432,786,818
ORD0012,Nicholas Blackwell,1473,1892,466,437
ORD0013,Brendan Reyes,1369,1383,532,559
ORD0014,Brendan Reyes,1488,1642,768,782
ORD0015,Amy Sharp,1367,1183,538,514
ORD0016,Nicholas Blackwell,1100,1063,449,413
ORD0017,Nicholas Blackwell,1168,954,358,364
ORD0018,Nicholas Blackwell,903,849,729,794
ORD0019,Melanie Pena,1432,1681,923,939
ORD0020,Nicholas Blackwell,1355,1663,388,364
ORD0021,Amy Sharp,700,664,459,436
ORD0022,Melanie Pena,940,1195,520,538
ORD0023,Nicholas Blackwell,1278,1571,534,556
ORD0024,Amy Sharp,1462,1627,466,502
ORD0025,William Patterson,1161,1019,457,458
ORD0026,Nicholas Blackwell,1119,1371,847,849
ORD0027,Brendan Reyes,960,1178,315,290
ORD0028,Nicholas Blackwell,878,916,340,327
ORD0029,Melanie Pena,1049,957,927,924
ORD0030,Brendan Reyes,1235,1190,582,528
ORD0031,Amy Sharp,854,686,332,314
ORD0032,Nicholas Blackwell,955,1098,341,328
ORD0033,William Patterson,1349,1700,785,724
ORD0034,Melanie Pena,1030,1224,414,389
ORD0035,Nicholas Blackwell,840,719,384,417
ORD0036,Brendan Reyes,613,491,813,835
ORD0037,Amy Sharp,1491,1477,755,824
ORD0038,Melanie Pena,1495,1713,562,602
ORD0039,Nicholas Blackwell,610,765,635,632
ORD0040,William Patterson,959,1144,873,849
ORD0041,Melanie Pena,1395,1305,420,449
ORD0042,Amy Sharp,1480,1243,312,293
ORD0043,Amy Sharp,863,834,735,771
ORD0044,Melanie Pena,1105,955,870,899
ORD0045,Amy Sharp,1198,1348,316,313
ORD0046,Melanie Pena,1465,1753,807,856
ORD0047,Nicholas Blackwell,708,714,835,757
ORD0048,Brendan Reyes,617,700,741,737
ORD0049,Melanie Pena,1035,946,800,812
ORD0050,Amy Sharp,1007,1230,843,829
ORD0051,Brendan Reyes,545,577,810,776
ORD0052,Melanie Pena,1213,1225,495,485
ORD0053,Nicholas Blackwell,792,984,446,410
ORD0054,Melanie Pena,1435,1742,537,512
ORD0055,William Patterson,936,1191,875,866
ORD0056,Amy Sharp,994,1096,472,487
ORD0057,Brendan Reyes,1219,1474,343,339
ORD0058,Melanie Pena,825,696,865,857
ORD0059,William Patterson,1406,1141,785,814
ORD0060,Brendan Reyes,535,507,757,709
ORD0061,William Patterson,744,803,545,560
ORD0062,Melanie Pena,916,1045,841,877
ORD0063,Brendan Reyes,1252,1550,449,476
ORD0064,Melanie Pena,1234,1356,591,629
ORD0065,Nicholas Blackwell,774,973,832,858
ORD0066,Amy Sharp,852,873,768,702
ORD0067,Brendan Reyes,1438,1509,839,765
ORD0068,William Patterson,818,954,548,590
ORD0069,Melanie Pena,1168,1137,395,410
ORD0070,Amy Sharp,564,599,924,962
ORD0071,Nicholas Blackwell,766,797,700,706
ORD0072,Brendan Reyes,600,749,445,414
ORD0073,Brendan Reyes,587,710,918,940
ORD0074,Melanie Pena,543,559,576,621
ORD0075,Melanie Pena,677,845,873,909
ORD0076,Brendan Reyes,641,569,458,415
ORD0077,William Patterson,929,1041,434,422
ORD0078,Brendan Reyes,785,990,998,1015
ORD0079,Melanie Pena,927,1191,646,669
ORD0080,Nicholas Blackwell,636,724,639,595
ORD0081,Amy Sharp,1186,1002,432,454
ORD0082,Amy Sharp,1418,1534,415,438
ORD0083,William Patterson,874,858,666,624
ORD0084,Nicholas Blackwell,933,1009,723,763
ORD0085,Brendan Reyes,712,578,403,408
ORD0086,Amy Sharp,749,951,323,325
ORD0087,Amy Sharp,1498,1889,461,496
ORD0088,Melanie Pena,966,950,644,675
ORD0089,Brendan Reyes,855,898,999,1096
ORD0090,Melanie Pena,1191,1477,663,672
ORD0091,Nicholas Blackwell,1236,1196,319,346
ORD0092,Melanie Pena,1213,1330,478,495
ORD0093,Amy Sharp,782,698,361,340
ORD0094,Brendan Reyes,1318,1419,715,675
ORD0095,William Patterson,885,1057,706,644
ORD0096,Melanie Pena,603,759,795,823
ORD0097,Amy Sharp,1031,920,848,776
ORD0098,Amy Sharp,585,620,867,931
ORD0099,Melanie Pena,831,973,824,766
ORD0100,William Patterson,951,974,369,355
