SalespersonID,SalespersonName,SalesAmount_2024,SalesAmount_2025
SP101,Christopher Young,107200,141834
SP102,Rachel Sanchez,85038,101934
SP103,Omar Morgan,82869,100456
SP104,Bruce Caldwell,91398,112954
SP105,Deborah Pace,101342,90535
SP106,Jacob Sherman,100539,116953
SP107,Timothy Smith,85503,108076
SP108,Victoria Robinson,111365,111474
SP109,Michael Jackson,112065,137301
SP110,Randy Cuevas,109450,114613
SP111,Victoria Rodriguez,86543,103482
SP112,Tina Ellis,103748,106878
SP113,Jill Whitaker,100051,112542
SP114,Michele Powers,94738,84434
SP115,Benjamin Greene,105687,107352
SP116,Christopher Ware,81712,83695
SP117,Jeffrey Burgess,84441,101693
SP118,Daniel Harris,84121,125656
SP119,Shannon Yates,100439,106990
SP120,Amanda Reid,96021,106410
